WindSpeed,Humidity,Pressure,Temperature,UV,RainToday,Humidity_Ke
4,53,1010.5,17.3,0,No,74
6,53,1014.1,18,0,No,74
15,58,1014.7,23,0,No,76
26,57,1014.5,15.6,0,No,75
19,60,1013.7,13.9,0,No,76
0,52,1014.5,12.6,0,No,74
4,58,1015.2,13.3,0,No,76
7,54,1017,17.6,0,No,75
6,49,1019.7,18.6,0,No,73
2,51,1019.5,20.1,0,No,74
15,57,1021.3,21.5,0,Yes,75
11,52,1019.5,22.2,8,No,74
0,82,1017.4,19,0,Yes,82
9,82,1012.7,19.9,4,Yes,82
11,62,1013.4,12.7,8,Yes,77
2,78,1013.3,12.2,6,No,81
9,78,1015.6,12.1,0,No,81
6,76,1017.4,14.7,0,No,81
6,56,1016.3,14.7,0,No,75
7,50,1016.5,17.4,0,No,74
0,47,1017,18.8,2,No,73
4,56,1014.8,18.1,1,No,75
0,63,1013.7,18.8,0,No,77
6,62,1016.5,15.4,0,No,77
11,69,1017.4,18.3,8,No,79
0,87,1019.1,16.2,6,Yes,84
0,63,1023,16.5,0,No,77
2,60,1023.8,14,0,No,76
0,60,1022.4,16,0,No,76
0,57,1023,17.2,0,No,75
2,61,1023.2,17.1,0,No,77
0,59,1022.6,16.6,0,No,76
0,59,1022.6,18.4,0,No,76
7,92,1018.8,19,6,Yes,85
0,60,1019.8,13.9,0,Yes,76
6,72,1020.4,12.9,0,No,80
13,58,1021.8,13.8,0,No,76
7,55,1026.7,13.3,0,No,75
7,60,1027.1,13.8,0,No,76
9,67,1024.2,15.1,0,No,78
6,59,1021.5,16.4,7,No,76
6,75,1024.4,18,6,Yes,81
0,88,1024.1,15.4,0,Yes,84
4,65,1023,16.1,0,No,78
0,68,1016.3,16.2,0,No,79
26,44,1008.2,20.5,0,No,72
0,65,1016.3,9.6,0,No,78
6,59,1018.5,12.6,1,No,76
2,73,1022.8,12.4,0,No,80
13,54,1022.7,18,0,No,75
2,58,1023.6,14.1,0,No,76
6,68,1025.2,12.2,0,No,79
0,73,1026,11.2,0,No,80
0,68,1021.3,12.9,0,No,79
7,74,1008.9,14.9,8,No,80
19,83,1004.8,13.3,8,Yes,83
26,77,1004,9.5,8,Yes,81
9,82,1013.8,7.6,8,Yes,82
15,83,1018,10.1,1,Yes,83
9,62,1023.1,8.2,8,No,77
0,70,1023.4,7.9,0,No,79
0,77,1026,7.2,0,No,81
7,81,1026.9,10.1,4,No,82
4,75,1028.7,10.6,0,No,81
6,86,1029.8,9.6,0,No,84
0,71,1031.4,10.3,0,No,79
6,82,1028.5,10,0,No,82
6,86,1026.2,8.3,0,No,84
0,68,1028.8,11,0,No,79
0,78,1026,9.4,0,No,81
0,69,1025.1,11.7,0,No,79
6,89,1025.6,8.5,0,No,84
4,81,1022.3,9.1,0,No,82
4,86,1018.4,7.5,8,No,84
17,77,1015.3,10.3,8,No,81
13,82,1015,12.9,7,No,82
22,82,1011.8,13,8,Yes,82
6,83,1022.5,7,0,No,83
0,82,1024.7,8.8,0,No,82
0,87,1023.6,7.4,0,No,84
2,75,1022.8,12.4,7,No,81
0,81,1025.2,9.4,0,No,82
4,75,1025.2,10.1,0,No,81
6,71,1022.2,11.9,0,No,79
0,69,1025,12.5,0,No,79
9,77,1024.6,11.6,8,No,81
2,97,1021.4,13.6,3,Yes,87
0,99,1021.7,10.1,0,No,87
0,91,1023.4,7.1,0,No,85
0,67,1025.6,10.2,0,No,78
0,65,1030.3,9.6,0,No,78
0,73,1034.1,8,0,No,80
0,88,1031.9,9.2,8,Yes,84
0,78,1029.3,10.6,8,Yes,81
6,85,1023.5,12.4,8,Yes,83
2,99,1021,11.3,7,Yes,87
4,86,1017.9,7.6,0,No,84
4,99,1015.2,4.7,8,No,87
6,93,1007.5,10,8,Yes,86
9,88,1009.6,10.3,8,Yes,84
13,92,1011.1,6.8,8,Yes,85
15,77,1017.6,4.9,4,Yes,81
0,84,1025.1,2.2,1,No,83
6,99,1025.7,1.9,7,No,87
4,86,1018.3,5.9,4,No,84
0,82,1011.8,6.5,0,No,82
2,99,1013.9,5.4,0,No,87
0,83,1022.3,6.6,0,No,83
0,94,1029.7,5.6,0,No,86
6,99,1031.6,4.7,0,No,87
6,93,1030.8,5.4,0,No,86
4,85,1025.7,7,8,No,83
4,99,1021.9,8.3,1,Yes,87
4,99,1020.7,9.1,8,Yes,87
11,99,1020.2,8.3,6,No,87
7,81,1014.9,9.6,5,Yes,82
2,99,1015.5,6.9,8,No,87
7,99,1011.6,8.4,0,Yes,87
7,79,1007.8,10.3,8,No,82
9,98,1007.5,9.8,8,Yes,87
9,91,1011.4,10.1,8,Yes,85
11,78,1007.6,13.5,8,Yes,81
20,85,1006.5,9.5,5,Yes,83
19,88,1009.4,8.8,4,Yes,84
17,82,1008.6,7.8,1,Yes,82
15,91,1016.3,7.9,8,No,85
9,80,1019.9,7,0,No,82
7,99,1022.4,2.3,0,No,87
0,91,1026,2.4,0,No,85
0,84,1030.4,3.3,0,No,83
0,84,1032,3.8,0,No,83
0,93,1028.7,4.8,0,No,86
0,96,1020.5,8.1,1,No,86
7,77,1010.4,11.6,6,No,81
13,82,1007.6,9,8,No,82
9,94,1006.6,7.5,8,Yes,86
4,99,1010.5,5.9,0,Yes,87
0,95,1015.6,3.8,0,No,86
4,88,1022.4,4.5,0,No,84
0,98,1023,3.2,5,No,87
7,94,1021.6,7.8,8,No,86
0,95,1023.1,7.1,0,No,86
4,87,1019.7,6.6,0,No,84
7,74,1009.5,11.3,8,No,80
13,83,1015.1,8.5,7,Yes,83
0,87,1027.3,3.7,2,No,84
0,95,1026.8,2.5,0,No,86
0,85,1018,4.4,0,No,83
6,99,1019.9,4.2,8,No,87
11,89,1024,8.8,8,Yes,84
11,98,1026,9.3,8,Yes,87
0,99,1025.8,6.5,7,No,87
19,81,1021.3,11.6,8,Yes,82
0,99,1026.8,8.9,3,No,87
2,94,1027.9,10.5,6,No,86
20,79,1023.1,9.9,0,No,82
0,91,1021.7,5.7,0,No,85
7,98,1022.2,8.9,8,Yes,87
0,99,1021.9,8,0,No,87
35,79,1012.8,9.8,8,No,82
6,78,1026.4,4.4,0,Yes,81
2,91,1021.6,2,0,No,85
4,72,1018.6,5.9,0,No,80
19,62,1009,14.8,1,No,77
6,99,1011.5,9.1,8,Yes,87
6,94,1015.7,9.4,7,No,86
0,99,1021.1,9,0,Yes,87
7,99,1021.2,6.7,0,No,87
11,79,1012.2,11,8,Yes,82
20,73,1018.2,9.8,0,Yes,80
0,85,1029.8,6,2,No,83
7,99,1027.7,5.5,1,No,87
6,78,1019.7,11.1,0,No,81
26,72,1004,13.3,8,No,80
9,90,1012,5.8,0,Yes,85
7,94,1011.5,10.8,3,Yes,86
26,68,1004.1,13.2,0,Yes,79
15,75,1009.6,7.7,0,Yes,81
13,83,1016.1,6.9,8,Yes,83
11,72,1018.5,8.9,0,No,80
7,87,1016.9,7.2,0,No,84
20,81,1002.6,13,8,Yes,82
26,77,1014.2,6.7,8,Yes,81
19,90,1018.9,9.7,5,Yes,85
7,96,1023.2,9.7,1,Yes,86
9,82,1024.9,7,0,No,82
4,80,1016.6,10.2,0,No,82
6,85,1014.4,12.5,0,Yes,83
4,81,1019.5,8.6,6,No,82
9,79,1018.4,8.3,0,No,82
9,73,1005,13.9,0,No,80
7,90,1009.9,9.4,4,No,85
17,82,1012.8,9.5,8,No,82
6,71,1017.8,9.7,6,No,79
7,83,1022.2,8.7,0,0,83
6,70,1020,13.2,0,No,79
9,44,1017,17.3,0,No,72
2,60,1022.6,10.9,0,No,76
6,68,1022.5,8.1,0,No,79
7,74,1022.2,11.2,0,No,80
6,76,1013.8,12.9,7,No,81
0,75,1021.2,12.9,0,Yes,81
6,98,1018.8,10.2,8,No,87
0,79,1014.6,14.3,0,No,82
9,73,1014.5,11.5,0,No,80
17,77,1002.6,15.5,1,Yes,81
26,82,997.8,13.1,8,Yes,82
9,72,1015.1,12.6,4,Yes,80
22,60,1009.3,15.2,7,No,76
37,79,1005.2,7.9,6,Yes,82
35,78,1009.8,6.7,8,Yes,81
17,79,1012.3,9.2,1,No,82
6,73,1015.6,9.4,0,No,80
7,75,1018,11.3,0,No,81
6,76,1012.4,12.9,0,No,81
4,68,1009.6,16.1,0,No,79
17,87,1014,9.6,7,Yes,84
0,85,1020.6,12.6,1,Yes,83
0,85,1020.7,12.5,0,No,83
6,85,1020.2,8.8,2,No,83
0,90,1018.7,7.1,0,Yes,85
6,65,1024,7.8,0,No,78
11,63,1027.7,11.8,0,No,77
17,55,1029.5,11.2,0,No,75
7,68,1022.6,11.3,0,No,79
9,88,1007.9,11,1,No,84
17,70,1001.9,10.8,6,Yes,79
26,88,1000.5,10.3,1,Yes,84
15,79,1008.5,11.1,8,Yes,82
15,77,1016,8.8,4,Yes,81
6,83,1022.7,10.9,1,No,83
6,72,1026.9,12.1,8,No,80
4,78,1026.6,12.2,0,No,81
7,71,1022.9,13.4,0,No,79
7,73,1018.9,15.4,0,No,80
9,67,1020.8,15.6,0,No,78
2,70,1019.6,14.8,0,No,79
9,68,1019.5,14.7,0,No,79
2,68,1014.7,14.4,0,No,79
20,52,1023.8,14.7,0,No,74
7,64,1027.5,12.9,0,No,77
4,67,1025.4,17.9,0,No,78
9,65,1023.4,19.1,0,No,78
11,75,1022.8,19.1,0,No,81
11,65,1022.3,21.4,0,No,78
9,66,1021.6,23.1,0,No,78
9,66,1018.8,23.9,0,No,78
24,46,1009.8,24.2,0,No,72
7,59,1017.1,15,0,No,76
7,67,1020.5,14,0,No,78
11,55,1025,17.5,0,No,75
6,57,1028.5,19.2,0,No,75
4,55,1029.1,21,0,No,75
7,48,1025.4,22.1,0,No,73
7,49,1021,23.3,0,No,73
4,43,1021.4,24.5,0,No,72
2,49,1018.9,24.7,0,No,73
19,42,1017.2,23.2,0,No,71
13,55,1015.6,21.7,0,No,75
6,57,1009.8,23.9,0,No,75
4,46,1007,24.1,0,No,72
19,38,1008,19.5,0,No,70
9,53,1010,21,0,No,74
17,29,1006.8,27.8,0,No,68
4,45,1007.6,24.7,1,No,72
9,95,1010.8,19.7,8,Yes,86
0,98,1003.7,19.2,8,Yes,87
7,63,1020.7,14.4,0,No,77
7,60,1024.6,18.1,1,No,76
4,60,1020.8,22,0,No,76
13,48,1012.2,28.2,4,No,73
11,82,1010.7,17.6,5,Yes,82
24,48,1006.5,18.8,1,No,73
6,94,1000.5,13.5,4,Yes,86
9,82,1010.3,15.9,1,Yes,82
24,43,1018.4,16.6,0,No,72
7,48,1022,16.8,0,No,73
6,57,1019.2,20.3,0,No,75
11,42,1015.9,19.5,0,No,71
2,44,1015.1,17.6,0,No,72
4,58,1015.9,18.9,0,No,76
6,47,1012.3,21.2,0,No,73
13,58,1006.9,21,5,No,76
6,64,1011.6,15.7,0,Yes,77
6,52,1008.9,19.7,7,No,74
19,62,1016.9,12.8,3,No,77
4,52,1019.2,17,4,No,74
2,52,1017.6,19.5,0,No,74
13,48,1018.7,21.8,0,No,73
7,51,1019.4,22.1,0,No,74
9,45,1017,23.8,0,No,72
9,40,1008.9,24.2,2,No,71
11,60,1015,16,0,Yes,76
2,45,1016.2,19.1,0,No,72
7,52,1018.1,20.8,0,No,74
6,48,1013.5,21,0,No,73
11,44,1010.9,23.1,0,No,72
11,41,1012.4,27.2,0,No,71
31,21,1006.5,32.1,0,No,65
0,84,1009.8,20.9,1,Yes,83
17,56,1014.7,20,0,No,75
11,61,1016.3,22.1,0,No,77
6,58,1015.2,24.4,0,No,76
4,46,1020,25.6,0,No,72
4,41,1022,26,0,No,71
15,41,1016.8,28.1,1,No,71
9,70,1012.2,23.4,1,Yes,79
6,88,1007.8,20.6,0,Yes,84
9,57,1014.4,18,0,No,75
11,55,1017.5,21.3,0,No,75
4,46,1014.9,23.3,0,No,72
2,49,1014.1,24.3,0,No,73
9,45,1014.9,22.8,1,No,72
6,50,1018,24.6,0,No,74
7,48,1017.2,26.4,1,No,73
9,38,1015.4,27.8,0,No,70
11,39,1013.8,29.1,0,No,70
7,48,1007.7,29.4,0,No,73
13,56,1009.8,25.1,8,No,75
15,55,1016.1,20.9,0,Yes,75
11,51,1015.6,24.2,0,No,74
22,50,1009.6,27.7,0,No,74
20,51,1006.9,18,1,No,74
22,44,1007.7,14.4,8,No,72
6,47,1011.5,15,0,No,73
2,52,1011.8,18.5,0,No,74
2,39,1010.7,22.4,0,No,70
7,40,1008.8,26,0,No,71
20,43,1006.7,25,0,No,72
6,50,1013.2,21.5,0,No,74
6,47,1011.4,22.8,0,No,73
0,35,1010,22.9,0,No,69
7,45,1011.4,24.2,0,No,72
2,51,1008.5,23.1,0,No,74
2,46,1009,23.1,0,No,72
15,48,1015.3,23.5,0,No,73
22,39,1014.2,26.6,0,No,70
4,46,1014,25.2,0,No,72
7,61,1016.1,22.9,0,Yes,77
15,36,1014,24.3,3,No,70
19,51,1010.8,26.3,0,No,74
9,83,1009.9,22.1,8,Yes,83
20,55,1016.4,22.6,0,Yes,75
19,53,1020.8,23.2,0,No,74
7,66,1020.8,25.9,7,No,78
6,58,1020.9,26.9,1,No,76
0,64,1018.8,25.2,4,0,77
9,76,1015.8,24.2,8,No,81
0,81,1008.5,23.4,7,0,82
9,82,1009.9,21.2,1,No,82
7,80,1006.8,21.7,8,No,82
7,76,1008.6,19.7,0,No,81
19,48,1014.7,20.6,0,No,73
6,66,1015.9,19.4,0,No,78
7,33,1020.4,21,0,0,69
9,54,1023.6,20.8,0,No,75
7,70,1018.9,19.6,2,No,79
6,71,1015.3,23.8,8,No,79
4,83,1014.6,21.3,8,Yes,83
15,56,1017.3,15.2,0,No,75
9,57,1020.3,17.9,0,No,75
2,61,1023.9,19.5,0,No,77
13,54,1024.6,20.6,0,No,75
9,70,1019.4,20.8,2,0,79
0,84,1016.7,19.9,0,Yes,83
19,50,1018.5,17.1,0,No,74
9,58,1019.3,16.6,0,0,76
0,61,1018.6,17.8,0,No,77
7,70,1014.2,20.1,0,No,79
24,74,1008.8,20.9,8,No,80
9,87,1010,22.3,1,Yes,84
15,89,1013.3,19,7,Yes,84
11,79,1008.7,19.8,1,Yes,82
20,90,1014.4,16.3,8,Yes,85
9,69,1023.7,12.5,1,No,79
13,56,1031.4,15.2,0,0,75
4,72,1036.3,14.2,0,No,80
0,80,1035.2,15,0,No,82
6,75,1030,15.6,0,No,81
0,72,1025.5,16.2,1,No,80
0,73,1023.8,16.1,0,No,80
2,76,1025.6,17.6,0,No,81
2,73,1025.4,18.9,0,No,80
4,79,1020.4,17.7,1,No,82
6,77,1020.2,19.4,0,No,81
0,78,1018.7,20.2,0,No,81
6,69,1020.8,13,0,No,79
6,79,1021.2,12.1,0,No,82
0,81,1022,13.3,0,No,82
4,75,1021.8,15.4,0,No,81
0,80,1019.2,15.8,0,No,82
0,73,1019.8,18.3,0,No,80
4,79,1016.4,19.4,0,No,82
7,94,1015.8,18.2,5,Yes,86
0,91,1019.6,17.5,0,No,85
9,71,1021.2,16.5,1,No,79
2,82,1020,14.6,2,No,82
0,78,1019.8,15.3,0,No,81
0,71,1020.7,15.5,5,No,79
13,58,1022.1,18.3,0,No,76
2,76,1020.7,15.5,0,No,81
0,75,1017.9,15.7,0,No,81
17,87,1012.8,19.2,3,Yes,84
13,84,1016.7,17.5,1,Yes,83
4,73,1016.1,15.7,2,No,80
6,84,1011.6,16.7,8,No,83
17,86,1010.1,15.9,2,Yes,84
19,71,1018.1,11,8,No,79
4,82,1023.8,10.1,0,No,82
9,81,1023.6,12.5,0,No,82
0,79,1022.6,13.3,0,No,82
6,79,1026.5,13.6,0,No,82
7,74,1027.8,15.8,0,No,80
0,67,1027.1,16.8,0,No,78
0,81,1025.7,14.6,3,No,82
2,79,1024.6,16.4,1,No,82
6,74,1022.8,18.5,0,No,80
0,74,1023.6,17.8,0,No,80
7,89,1020.5,15.4,0,No,84
11,95,1013.4,17.1,8,Yes,86
11,72,1016.2,14.4,0,Yes,80
4,78,1026.5,10.4,0,No,81
0,84,1020.9,9.7,7,No,83
6,84,1022,12.4,1,Yes,83
7,79,1021.9,14.3,8,No,82
0,99,1026.8,9.4,0,No,87
0,84,1027.9,11.7,0,No,83
7,97,1026.7,10,0,No,87
0,83,1027.1,12.7,0,No,83
7,92,1017.8,11.9,4,No,85
17,84,1016.1,9.3,0,Yes,83
11,78,1022.3,10.8,8,No,81
2,89,1024.7,10.2,6,No,84
0,84,1023.7,13,1,No,83
7,99,1023.4,9.2,1,No,87
2,99,1020.8,8.1,0,No,87
9,77,1012.5,10.7,0,No,81
7,81,1022.8,6,0,No,82
0,79,1024.1,6.4,0,No,82
7,99,1021.2,5.7,0,No,87
0,83,1019.9,8.1,0,No,83
0,84,1021.6,8.2,0,No,83
7,92,1021.1,9.2,0,No,85
7,90,1020.9,7.4,0,No,85
0,86,1024.1,6.6,0,No,84
0,88,1023.8,6.8,0,No,84
0,92,1022.3,7.6,0,No,85
0,76,1023.3,6.3,3,No,81
4,76,1023.5,6.6,0,No,81
9,74,1017.6,10.3,2,No,80
7,88,1008.7,13.5,7,Yes,84
11,71,1008.9,14.9,0,Yes,79
0,92,1019.6,9.7,8,No,85
0,96,1019.4,9.4,6,No,86
9,99,1005.7,12.1,8,Yes,87
11,99,1004.7,10.8,1,Yes,87
19,54,1015.2,15,0,No,75
0,89,1020.7,8.3,0,No,84
0,93,1022.3,8.6,0,No,86
0,79,1026.5,8.9,0,No,82
0,82,1023.6,8.7,0,No,82
7,99,1018.7,5.1,0,No,87
7,97,1020.6,6.2,0,No,87
0,80,1026.7,4.2,2,No,82
2,89,1023.7,5.3,7,No,84
11,81,1012.9,7.8,8,No,82
15,85,1021.2,7.2,6,Yes,83
6,82,1023,9.2,7,No,82
0,95,1025.4,3.3,0,No,86
6,83,1031.8,4.1,0,No,83
0,85,1035.2,2.2,6,No,83
2,92,1032.3,3.4,1,No,85
4,91,1027.4,7.4,7,No,85
30,82,1010,13,0,Yes,82
7,88,1019.6,6.9,2,Yes,84
17,95,1019.4,10.3,0,Yes,86
0,98,1027.2,7.7,8,No,87
9,99,1034.5,7.4,0,No,87
0,94,1037.3,6.1,0,No,86
0,89,1036.9,7.2,8,No,84
4,85,1030.1,8.3,1,No,83
9,83,1021.9,12.1,8,No,83
4,86,1020.5,7.6,8,Yes,84
2,99,1024.3,2.8,2,No,87
7,99,1022.7,2.3,7,No,87
9,71,1021.2,6.5,8,No,79
6,81,1020.7,6.3,8,No,82
0,99,1025.2,5.5,7,Yes,87
2,99,1027.6,3.2,4,No,87
0,99,1030.5,3.7,0,No,87
4,99,1032.5,3.1,0,No,87
7,99,1027.5,2.4,3,No,87
7,94,1020.9,6.7,0,Yes,86
0,99,1026.9,3,0,No,87
0,99,1029.5,4.1,0,No,87
0,90,1030.9,4.8,0,No,85
6,96,1024.1,5,8,No,86
4,99,1020.6,11.8,1,Yes,87
9,99,1024.3,5.9,0,No,87
7,98,1016.8,6.2,8,No,87
24,82,1009.2,8.5,8,Yes,82
13,85,1020.2,6.9,6,Yes,83
2,99,1028.7,2.9,2,No,87
6,99,1029.2,2.8,4,No,87
9,96,1023.1,5.2,1,No,86
4,99,1018.8,7.7,8,Yes,87
7,99,1025.4,3.1,1,No,87
0,99,1029.3,2.9,0,No,87
0,89,1032.7,4,1,No,84
7,99,1035.5,4.1,0,No,87
6,99,1032.1,4.5,0,No,87
4,99,1031.7,4.5,0,No,87
0,99,1035.9,3.7,0,No,87
0,85,1036.1,4,0,No,83
4,80,1027.8,5.8,8,No,82
0,99,1018.5,10.3,8,Yes,87
2,91,1015.5,11.1,8,No,85
4,100,1013.7,11.1,8,Yes,88
20,86,1016.3,9.3,8,Yes,84
15,85,1019.5,7.8,8,Yes,83
0,86,1023.2,6.4,0,No,84
0,94,1019.8,5.5,8,No,86
2,97,1019.5,6.7,4,0,87
6,99,1024.5,3.2,1,No,87
0,83,1026.9,4.6,8,No,83
0,86,1022.2,4.3,8,No,84
6,79,1022.4,6,0,No,82
9,86,1013.9,9.7,8,Yes,84
11,96,1006.2,7.7,8,Yes,86
19,91,1005.7,9.2,0,Yes,85
0,99,1016.7,6.5,1,No,87
15,85,1014.4,8.9,0,No,83
11,83,1004.5,10.7,8,Yes,83
17,94,1013.8,7.7,6,Yes,86
0,87,1024.1,4.5,1,Yes,84
0,92,1016.9,5,8,No,85
15,85,1008.2,11.6,6,Yes,83
20,82,1015.7,6.4,5,Yes,82
17,86,1018.7,7,3,No,84
7,87,1024,7.6,6,No,84
6,91,1017.7,6.4,8,No,85
19,90,1013.2,9.4,8,Yes,85
13,87,1010.9,5.4,8,Yes,84
20,84,1003.1,7.3,8,Yes,83
20,75,1009.5,9,0,Yes,81
6,99,1024.4,4.1,3,No,87
2,85,1029.6,7.1,7,No,83
0,84,1028.9,7.4,0,No,83
6,89,1024.8,7.2,6,No,84
7,86,1015.8,11.2,8,No,84
0,92,1016.5,10.9,5,No,85
17,65,1022.1,10.2,0,No,78
24,96,1004.7,15.1,8,Yes,86
22,81,1011.7,10.6,7,Yes,82
11,89,1019.7,9.5,6,Yes,84
7,83,1026.2,8,1,Yes,83
7,74,1026.9,8.8,7,No,80
7,76,1015.6,11.1,8,No,81
28,91,1004.5,10.9,8,Yes,85
7,88,1020.2,8.4,8,Yes,84
9,84,1022.5,10.2,8,No,83
7,88,1017.1,11.4,1,No,84
19,76,1014.7,12.2,0,No,81
20,68,1015.2,9.5,7,No,79
20,64,1019.2,10.2,3,No,77
13,76,1024,8.8,5,No,81
11,67,1021.8,9.8,8,No,78
2,90,1022.7,9,2,No,85
6,79,1026.1,10,0,No,82
2,81,1025.2,11.9,0,No,82
2,70,1025.8,14.7,8,No,79
0,76,1024.4,12.1,0,No,81
2,96,1023.9,9,2,No,86
7,84,1018.6,12.1,1,No,83
0,75,1020.5,13.2,0,No,81
4,83,1014.1,11.9,0,No,83
11,65,1016,10.4,0,No,78
19,66,1021.4,9.4,0,No,78
9,59,1026.3,9.5,0,No,76
7,71,1027.5,9.9,0,No,79
13,61,1028.2,13.7,0,No,77
2,72,1028.4,13.4,0,No,80
6,85,1024.6,13.2,0,No,83
7,78,1021.9,16.3,1,No,81
11,80,1019.8,17.4,0,No,82
20,64,1020,10,0,Yes,77
2,59,1025.3,10.9,0,No,76
2,83,1025.7,9.9,0,No,83
6,71,1029.4,14.8,0,No,79
15,60,1030.9,15.4,0,No,76
7,91,1027.7,14.7,8,No,85
11,92,1017.9,16.2,8,Yes,85
4,92,1013.6,14,0,Yes,85
28,93,989.8,18.5,8,Yes,86
20,72,1004.6,6.4,0,Yes,80
15,77,1016.1,9.5,8,No,81
2,74,1019.9,12.5,1,No,80
6,78,1026,10.9,4,No,81
0,80,1028.7,11.9,0,No,82
0,75,1024.5,13.5,0,No,81
6,77,1020.9,14.9,0,No,81
6,81,1016.8,17.4,5,No,82
19,65,1020.6,14.2,0,Yes,78
4,77,1022.4,14.6,1,No,81
7,80,1017.9,14.8,0,No,82
11,81,1016.2,15.6,2,Yes,82
7,73,1019.8,15,0,No,80
7,70,1017.2,17.1,0,No,79
7,95,1010.7,17.6,8,Yes,86
17,78,1011.3,15.5,8,Yes,81
6,79,1016.5,12.5,1,Yes,82
11,73,1016.3,12.1,8,No,80
9,63,1019.3,14.4,5,No,77
13,61,1020.8,13.3,5,No,77
19,53,1023,15,0,No,74
15,59,1022.6,14.4,0,No,76
9,73,1018.3,15.9,1,No,80
11,71,1013.8,19.4,4,Yes,79
7,69,1024.3,18.4,1,No,79
7,76,1019.9,21.5,3,No,81
9,73,1014.3,20.6,0,No,80
20,60,1012.5,24.4,0,No,76
13,63,1012.1,24.4,3,No,77
15,93,1013.9,19.2,0,Yes,86
19,84,1014.3,16.7,0,Yes,83
11,56,1015.4,15.8,3,No,75
4,65,1017.5,15.6,0,No,78
6,68,1015.7,16,0,No,79
17,56,1020.9,17.1,0,No,75
7,63,1026,18.3,0,No,77
11,70,1022.1,20,0,No,79
7,59,1022.7,22,0,No,76
22,49,1023.5,23.2,2,No,73
20,46,1021.8,24,0,No,72
7,47,1018.2,23.9,0,No,73
13,92,1018.1,18.5,8,Yes,85
9,77,1012.6,20.6,8,Yes,81
17,86,1007.6,18.5,0,Yes,84
20,69,1013.6,16.6,2,Yes,79
22,69,1015,17.4,0,Yes,79
11,72,1014.1,19.6,8,Yes,80
